name,name,pretzel,torus,theta_0,theta_2,theta_3,theta_5,theta_7,theta_2-rational,theta_3-rational,theta_5-rational,"s_2(2,1-cable)","s_3(2,1-cable)","s_5(2,1-cable)",s_2,sigma,tau,epsilon,det,symmetry,Genus-4D
10_072,,,,,,,,,,,,,,,4,-4,2,1,73,reversible,2
10_073,,,,,,,,,,,,,,,-2,2,-1,-1,83,reversible,1
10_074,,,,,,,,,,,,,,,2,-2,1,1,63,reversible,1
10_075,,,,0,0,0,0,0,,,,,,,0,0,0,0,81,reversible,0
10_076,,,,,,,,,,,,,,,4,-4,2,1,57,reversible,2
10_077,,,,,,,,,,,,,,,-2,2,-1,-1,63,reversible,1
10_078,,,,,,,,,,,,,,,4,-4,2,1,69,reversible,2
10_079,,,,,,,,,,,,,,,0,0,0,0,61,negative amphicheiral,1
10_080,,,,,,,,,,,,,,,6,-6,3,1,71,chiral,3
10_081,,,,,,,,,,,,,,,0,0,0,0,85,negative amphicheiral,1
10_082,,,,,,,,,,,,,,,2,-2,1,1,63,chiral,1
10_083,,,,,,,,,,,,,,,-2,2,-1,-1,83,chiral,1
10_084,,,,,,,,,,,,,,,2,-2,1,1,87,chiral,1
10_085,,,,,,,,,,,,,,,-4,4,-2,-1,57,chiral,2
10_086,,,,,,,,,,,,,,,0,0,0,0,85,chiral,1
10_087,,,,0,0,0,0,0,,,,,,,0,0,0,0,81,chiral,0
10_088,,,,,,,,,,,,,,,0,0,0,0,101,negative amphicheiral,1
10_089,,,,,,,,,,,,,,,-2,2,-1,-1,99,reversible,1
10_090,,,,,,,,,,,,,,,0,0,0,0,77,chiral,1
10_091,,,,,,,,,,,,,,,0,0,0,0,73,chiral,1
10_092,,,,,,,,,,,,,,,4,-4,2,1,89,chiral,2
10_093,,,,,,,,,,,,,,,-2,2,-1,-1,67,chiral,1
10_094,,,,,,,,,,,,,,,2,-2,1,1,71,chiral,1
10_095,,,,,,,,,,,,,,,-2,2,-1,-1,91,chiral,1
10_096,,,,,,,,,,,,,,,0,0,0,0,93,reversible,1
10_097,,,,,,,,,,,,,,,2,-2,1,1,87,reversible,1
10_098,,,,,,,,,,,,,,,4,-4,2,1,81,chiral,2
10_099,,,,0,0,0,0,0,,,,,,,0,0,0,0,81,fully amphicheiral,0
10_100,,,,,,,,,,,,,,,-4,4,-2,-1,65,reversible,2
10_101,,,,,,,,,,,,,,,4,-4,2,1,85,reversible,2
10_102,,,,,,,,,,,,,,,0,0,0,0,73,chiral,1
10_103,,,,,,,,,,,,,,,-2,2,-1,-1,75,reversible,1
10_104,,,,,,,,,,,,,,,0,0,0,0,77,reversible,1
10_105,,,,,,,,,,,,,,,2,-2,1,1,91,reversible,1
10_106,,,,,,,,,,,,,,,2,-2,1,1,75,chiral,1
10_107,,,,,,,,,,,,,,,0,0,0,0,93,chiral,1
10_108,,,,,,,,,,,,,,,2,-2,1,1,63,reversible,1
10_109,,,,,,,,,,,,,,,0,0,0,0,85,negative amphicheiral,1
10_110,,,,,,,,,,,,,,,2,-2,1,1,83,chiral,1
10_111,,,,,,,,,,,,,,,4,-4,2,1,77,reversible,2
10_112,,,,,,,,,,,,,,,-2,2,-1,-1,87,reversible,1
10_113,,,,,,,,,,,,,,,2,-2,1,1,111,reversible,1
10_114,,,,,,,,,,,,,,,0,0,0,0,93,reversible,1
10_115,,,,,,,,,,,,,,,0,0,0,0,109,negative amphicheiral,1
10_116,,,,,,,,,,,,,,,-2,2,-1,-1,95,reversible,1
10_117,,,,,,,,,,,,,,,-2,2,-1,-1,103,chiral,1
10_118,,,,,,,,,,,,,,,0,0,0,0,97,negative amphicheiral,1
10_119,,,,,,,,,,,,,,,0,0,0,0,101,chiral,1
10_120,,,,,,,,,,,,,,,4,-4,2,1,105,reversible,2
10_121,,,,,,,,,,,,,,,2,-2,1,1,115,reversible,1
10_122,,,,,,,,,,,,,,,0,0,0,0,105,reversible,1
10_123,,,,0,0,0,0,0,,,,,,,0,0,0,0,121,fully amphicheiral,0
10_124,,"5,3,-2","3,5",11,12,12,11,11,0,0,0,,,36,8,-8,4,1,1,reversible,4
10_125,,"3,-2,-5",,-2,-4,-2,-2,-2,0,0,0,,,,-2,2,-1,-1,11,reversible,1
10_126,,"3,2,-5",,-3,-4,-3,-3,-3,0,0,0,,,,-2,2,-1,-1,19,reversible,1
10_127,,,,6,8,6,6,6,0,0,0,,20,20,4,-4,2,1,29,reversible,2
10_128,,,,8,8,9,8,8,0,0,0,,30,,6,-6,3,1,11,reversible,3
10_129,,,,0,0,0,0,0,1,1,1,,,,0,0,0,0,25,reversible,0
10_130,,,,0,0,0,0,0,1,1,1,,,,0,0,0,0,17,reversible,1
10_131,,,,3,4,3,3,3,0,0,0,,,,2,-2,1,1,31,reversible,1
10_132,,,,-3,-4,-3,-3,-3,0,0,0,,,,-2,0,-1,-1,5,reversible,1
10_133,,,,3,4,3,3,3,0,0,0,,,,2,-2,1,1,19,reversible,1
10_134,,,,9,12,9,9,9,0,0,0,,30,30,6,-6,3,1,23,reversible,3
10_135,,,,0,0,0,0,0,1,1,1,,,,0,0,0,0,37,reversible,1
10_136,,,,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,15,reversible,1
10_137,,,,0,0,0,0,0,1,1,1,,,,0,0,0,0,25,reversible,0
10_138,,,,3,4,3,3,3,0,0,0,,8,8,2,-2,1,1,35,reversible,1
10_139,,,,11,12,12,11,11,0,0,0,,,36,8,-6,4,1,3,reversible,4
10_140,,"3,-3,-4",,0,0,0,0,0,1,1,1,,,,0,0,0,0,9,reversible,0
10_141,,,,0,0,0,0,0,1,1,1,,,,0,0,0,0,21,reversible,1
10_142,,"3,3,-4",,9,12,9,9,9,0,0,0,,30,30,6,-6,3,1,15,reversible,3
10_143,,,,-3,-4,-3,-3,-3,0,0,0,,,,-2,2,-1,-1,27,reversible,1
10_144,,,,,4,3,3,3,0,0,0,10,10,10,2,-2,1,1,39,reversible,1
10_145,,,,-6,-8,-6,-6,-6,0,0,0,,,,-4,2,-2,-1,3,reversible,2
10_146,,,,,,,,,,,,,,,0,0,0,0,33,reversible,1
10_147,,,,3,4,3,3,3,0,0,0,,,,2,-2,1,1,27,chiral,1
10_148,,,,-3,-4,-3,-3,-3,,,,,,,-2,2,-1,-1,31,chiral,1
10_149,,,,6,8,6,6,6,,,,,,,4,-4,2,1,41,chiral,2
10_150,,,,6,8,6,6,6,,,,,,,4,-4,2,1,29,chiral,2
10_151,,,,,,,,,,,,,,,-2,2,-1,-1,43,chiral,1
10_152,,,,11,12,12,11,11,,,,,,,8,-6,4,1,11,reversible,4
10_153,,,,0,0,0,0,0,,,,,,,0,0,0,0,1,chiral,0
10_154,,,,8,8,9,8,8,,,,,,,6,-4,3,1,13,reversible,3
10_155,,,,0,0,0,0,0,,,,,,,0,0,0,0,25,reversible,0
10_156,,,,,,,,,,,,,,,-2,2,-1,-1,35,reversible,1
10_157,,,,,,,,,,,,,,,-4,4,-2,-1,49,reversible,2
10_158,,,,,,,,,,,,,,,0,0,0,0,45,reversible,1
10_159,,,,,4,3,3,,,,,,,,2,-2,1,1,39,reversible,1
10_160,,,,6,8,6,6,6,,,,,,,4,-4,2,1,21,reversible,2
10_161,,,,8,8,9,8,8,,,,,,,6,-4,3,1,5,reversible,3
10_162,,,,,-4,-3,-3,,,,,,,,-2,2,-1,-1,35,reversible,1
10_163,,,,,4,3,3,,,,,,,,2,-2,1,1,51,reversible,1
10_164,,,,,0,0,,,,,,,,,0,0,0,0,45,reversible,1
10_165,,,,,-4,,,,,,,,,,-2,2,-1,-1,39,reversible,1
11a_367,,,"2,11",15,,,,,,,,,,,,,,,,,
11n_077,,,,,12,12,11,11,,,,,,,8,-6,4,1,,,4
12n_0233,,"3,2,-7",,,-8,-6,-6,-6,,,,,,,-4,4,-2,-1,,,2
12n_0235,,"3,-2,-7",,,-8,-5,-5,-5,,,,,,,-4,4,-2,-1,,,2
12n_0242,,"7,3,-2",,,16,15,14,14,,,,,,,10,-8,5,1,,,5
12n_0474,,"5,3,-4",,,16,12,12,12,,,,,,,8,-8,4,1,,,4
12n_0475,,"3,-4,-5",,,0,0,0,0,,,,,,,0,2,0,0,,,1
12n_0522,,"4,3,-5",,,-4,-3,-3,-3,,,,,,,-2,2,-1,-1,,,1
12n_0725,,"5,5,-2",,,16,15,14,14,,,,,,,10,-8,5,1,,,5
14n_06004,,"3,2,-9",,,-12,-9,-9,-9,,,,,,,-6,6  ,-3,-1,,,3
14n_06006,,"3,-2,-9",,,-12,-8,-8,-8,,,,,,,-6,6  ,-3,-1,,,3
14n_06022,,"9,3,-2",,,20,18,17,17,,,,,,,12,-10,6,1,,,6
14n_21316,,"5,2,-7",,,-4,-3,-3,-3,,,,,,,-2,2  ,-1,-1,,,1
14n_21318,,"5,-2,-7",,,-4,-2,-2,-2,,,,,,,-2,2  ,-1,-1,,,1
14n_21324,,"7,5,-2",,,20,18,17,17,,,,,,,12,-10,6,1,,,6
14n_21881,,,"3,7",,16,18,16,,,,,,,,12,-8,6,1,,,6
14n_24552,,"5,5,-4",,15,16,15,15,15,,,,,,,10,-10,5,1,,,5
14n_24553,,"5,-4,-5",,0,0,0,0,0,,,,,,,0,0  ,0,0,,,0
15n_041185,,,"4,5",,16,15,15,15,,,,,,,12,-8,6,1,,,6
15n_113775,,"3,-5,-7",,3,4,3,3,3,,,,,,,2,0  ,1,1,,,1
16n_0771163,,"9,2,-5",,,6,3,2,2,,,,,,,4,-4 ,2,1,,,2
16n_0783154,,,"3,8",,20,21,19,,,,,,,,14,-10,7,1,,,7
16n_0864354,,"7,5,-4",,,20,18,18,18,,,,,,,12,-12,6,1,,,6
16n_0996934,,"7,7,-2",,,24,21,20,20,,,,,,,14,-12,7,1,,,7
"P(11,9,-5)",,"11,9,-5",,,4,,,,,,,,,,-2,0  ,-1,-1,,,1
"P(7,7,-6)",,"7,7,-6",,,,21,21,21,,,,,,,14,-14,7,1,,,7
"T(3,10)",,,"3,10",,24,27,,,,,,,,,18,-14,9,1,,,9
"T(3,11)",,,"3,11",,28,,,,,,,,,,20,-16,10,1,,,10
